snr_db,model,accuracy,f1_macro
-10,random_forest,0.7142857142857143,0.5882352941176471
-10,svm,0.2,0.08333333333333333
-10,cnn,0.2,0.08333333333333333
-5,random_forest,0.8,0.653125
-5,svm,0.2,0.08536585365853659
-5,cnn,0.2,0.08333333333333333
0,random_forest,0.8285714285714286,0.673963133640553
0,svm,0.42857142857142855,0.48195084485407064
0,cnn,0.3142857142857143,0.20526315789473684
5,random_forest,0.9142857142857143,0.9107142857142857
5,svm,0.6285714285714286,0.6101190476190477
5,cnn,0.5142857142857142,0.515625
10,random_forest,0.9142857142857143,0.9107142857142857
10,svm,0.6857142857142857,0.6727783086478739
10,cnn,0.6,0.6258928571428571
15,random_forest,0.9428571428571428,0.9594155844155845
15,svm,0.8285714285714286,0.8432539682539683
15,cnn,0.6285714285714286,0.65
20,random_forest,0.9428571428571428,0.9594155844155845
20,svm,0.9428571428571428,0.9513468013468013
20,cnn,0.6571428571428571,0.7242647058823529
clean,random_forest,0.9428571428571428,0.9594155844155845
clean,svm,0.9428571428571428,0.9513468013468013
clean,cnn,0.7714285714285715,0.8376623376623377
